product_category_name,Contagem de order_id,Média de price,Mínimo de price,Máximo de price,Mediana de price,Mediana de product_photos_qty,Contagem de product_id
cama_mesa_banho,11115,9329.632748538012,699,199998,7905,1,3029
esporte_lazer,8641,11434.428538363616,450,405900,7800,1,2867
moveis_decoracao,8334,8756.449364050875,490,189900,6549,2,2657
beleza_saude,9670,13016.353050672182,120,312400,7990,1,2444
utilidades_domesticas,6964,9078.814761631247,306,673500,5980,1,2335
automotivo,4235,13995.75230224321,349,225800,8490,2,1900
informatica_acessorios,7827,11651.390315574294,390,369999,8199,1,1639
brinquedos,4117,11754.836045664319,490,169999,7990,2,1411
relogios_presentes,5991,20113.598397596394,899,399990,12900,2,1329
telefonia,4545,7121.397799779978,500,242800,2999,2,1134
bebes,3065,13434.417292006525,354,389900,7798,2,919
perfumaria,3419,11673.731207955543,499,68990,8499,1,868
fashion_bolsas_e_acessorios,2031,7524.546528803545,600,169999,4900,3,849
papelaria,2517,9175.336909018673,229,169300,7900,2,849
cool_stuff,3796,16735.7968914647,700,310999,12999,2,789
ferramentas_jardim,4347,11163.019553715207,635,393000,5990,2,753
pet_shop,1947,11007.46841294299,290,249800,8970,2,719
"",1603,11199.955084217094,300,398000,6999,,610
eletronicos,2767,5791.3530899891575,399,247050,2190,1,517
construcao_ferramentas_construcao,929,15573.475780409042,85,230000,8900,1,400
eletrodomesticos,771,10398.38261997406,619,209000,4759,1,370
malas_acessorios,1092,12859.888278388278,1333,119790,9994.5,2,349
consoles_games,1137,13849.183817062445,518,409999,5900,2,317
moveis_escritorio,1691,16201.10585452395,2500,118990,14499,1,309
instrumentos_musicais,680,28161.6,490,439987,9483.5,2,289
eletroportateis,679,28077.84683357879,650,479900,9900,2,231
casa_construcao,604,13756.311258278145,897,109799,9520,2,225
livros_interesse_geral,553,8473.215189873417,600,89990,4490,1,216
fashion_calcados,262,8993.423664122138,2590,36500,7740,4,173
moveis_sala,503,13701.105367793241,1390,83999,10397,2,156
climatizacao,297,18526.92255892256,1090,159900,13999,1,124
livros_tecnicos,267,7152.082397003745,995,38493,5749,1,123
telefonia_fixa,264,22569.31818181818,600,179000,6448.5,3,116
casa_conforto,434,13495.861751152073,699,79900,8990,2,111
alimentos_bebidas,278,5460.244604316546,650,69990,3874.5,1,104
market_place,311,9124.909967845659,999,196400,6280,2,104
fashion_roupa_masculina,132,8180.166666666667,1490,29250,5990,2,95
moveis_cozinha_area_de_servico_jantar_e_jardim,281,16486.964412811387,960,132000,11000,2,94
sinalizacao_e_seguranca,199,10808.658291457286,450,74000,7500,2,93
construcao_ferramentas_seguranca,194,20899.23711340206,890,309990,12557.5,2,91
eletrodomesticos_2,238,47612.49579831933,1390,235000,22594.5,2,90
construcao_ferramentas_jardim,238,10804.995798319327,882,134990,4894.5,1,88
alimentos,510,5763.413725490196,999,27499,4894.5,1,82
bebidas,379,5917.862796833773,600,62300,4749,1,81
construcao_ferramentas_iluminacao,304,13513.157894736842,1251,129000,10450,1,78
agro_industria_e_comercio,212,34212.485849056604,1299,299000,25865,1,74
industria_comercio_e_negocios,268,14802.09328358209,2790,308900,10300,1,68
artigos_de_natal,153,5752.169934640523,550,29500,4490,1,65
audio,364,13925.412087912087,1490,59899,8900,1,58
artes,209,11580.21052631579,350,649900,9750,1,55
fashion_underwear_e_moda_praia,131,7283.625954198474,390,19200,5990,3,53
dvds_blu_ray,64,9374.046875,890,142000,1990,1,48
moveis_quarto,109,18375.02752293578,690,65000,17900,2,45
construcao_ferramentas_ferramentas,103,15440.728155339806,680,189900,5999,2,39
livros_importados,60,7733.083333333333,1899,74900,6300,1,31
portateis_casa_forno_e_cafe,76,62428.56578947369,1019,289900,58700,1,31
pcs,203,109834.05418719212,3450,672900,110000,2,30
cine_foto,72,9629.805555555555,680,87399,7282.5,2,28
fashion_roupa_feminina,48,5840.916666666667,1990,19890,4949.5,2,27
musica,38,15879.868421052632,385,116597,5489,2,27
artigos_de_festas,43,10430.651162790698,799,57120,6790,1,26
artes_e_artesanato,24,7558.375,980,28949,4490,3,19
fashion_esporte,30,7065.033333333334,2499,22500,5990,2,19
flores,33,3363.757575757576,1560,6590,2599,1,14
fraldas_higiene,39,4019.4615384615386,2500,13989,3700,1,12
la_cuisine,14,14678.5,2400,38900,13700,1,10
moveis_colchao_e_estofado,38,11494.947368421053,4470,39999,8500,2,10
portateis_cozinha_e_preparadores_de_alimentos,15,26456.866666666665,1742,109900,3490,1,10
tablets_impressao_imagem,83,9070.373493975903,1490,88999,9900,3,9
casa_conforto_2,30,2534.233333333333,1290,21999,1290,1,5
fashion_roupa_infanto_juvenil,8,7123.125,3999,11000,6994.5,3,5
pc_gamer,9,17177.222222222223,12999,23900,12999,4,3
seguros_e_servicos,2,14164.5,10000,18329,14164.5,3,2
cds_dvds_musicais,14,5214.285714285715,4500,6500,4500,2,1
